00:15:20.441 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:20.455 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:42.900 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:42.915 ERROR Bot encountered an error: thread.type.split is not a function. 
03:39:50.993 INFO  Loading Event: ready 
03:39:50.993 INFO  Loading Event: request 
03:39:50.994 INFO  Loading Event: warn 
03:39:51.099 INFO  Loading Event: autoComplete 
03:39:51.100 INFO  Loading Event: clickButton 
03:39:51.132 INFO  Loading Event: clickMenu 
03:39:51.133 INFO  Loading Event: slashCreate 
03:39:51.134 INFO  Loading Event: ticketClose 
03:39:51.135 INFO  Loading Event: ticketCreate 
03:39:51.136 INFO  Loading Event: warning 
03:39:51.137 INFO  Loading Event: endedGiveawayReactionAdded 
03:39:51.138 INFO  Loading Event: giveawayDeleted 
03:39:51.139 INFO  Loading Event: giveawayEnded 
03:39:51.148 INFO  Loading Event: giveawayReactionAdded 
03:39:51.149 INFO  Loading Event: giveawayReactionRemoved 
03:39:51.149 INFO  Loading Event: giveawayRerolled 
03:39:51.150 INFO  Loading Event: shardDisconnect 
03:39:51.151 INFO  Loading Event: shardError 
03:39:51.152 INFO  Loading Event: shardReady 
03:39:51.153 INFO  Loading Event: shardReconnecting 
03:39:51.154 INFO  Loading Event: channelCreate 
03:39:51.155 INFO  Loading Event: channelDelete 
03:39:51.156 INFO  Loading Event: channelUpdate 
03:39:51.156 INFO  Loading Event: emojiCreate 
03:39:51.157 INFO  Loading Event: emojiDelete 
03:39:51.158 INFO  Loading Event: emojiUpdate 
03:39:51.158 INFO  Loading Event: guildBanAdd 
03:39:51.159 INFO  Loading Event: guildBanRemove 
03:39:51.159 INFO  Loading Event: guildMemberAdd 
03:39:51.161 INFO  Loading Event: guildMemberRemove 
03:39:51.162 INFO  Loading Event: guildMemberUpdate 
03:39:51.162 INFO  Loading Event: guildScheduledEventCreate 
03:39:51.163 INFO  Loading Event: guildScheduledEventDelete 
03:39:51.163 INFO  Loading Event: guildScheduledEventUpdate 
03:39:51.164 INFO  Loading Event: guildScheduledEventUserAdd 
03:39:51.165 INFO  Loading Event: guildScheduledEventUserRemove 
03:39:51.165 INFO  Loading Event: guildUpdate 
03:39:51.166 INFO  Loading Event: inviteCreate 
03:39:51.166 INFO  Loading Event: inviteDelete 
03:39:51.167 INFO  Loading Event: messageDelete 
03:39:51.168 INFO  Loading Event: messageDeleteBulk 
03:39:51.168 INFO  Loading Event: messageReactionAdd 
03:39:51.169 INFO  Loading Event: messageReactionRemove 
03:39:51.169 INFO  Loading Event: messageReactionRemoveAll 
03:39:51.170 INFO  Loading Event: messageUpdate 
03:39:51.171 INFO  Loading Event: roleCreate 
03:39:51.171 INFO  Loading Event: roleDelete 
03:39:51.172 INFO  Loading Event: roleUpdate 
03:39:51.172 INFO  Loading Event: stickerCreate 
03:39:51.173 INFO  Loading Event: stickerDelete 
03:39:51.174 INFO  Loading Event: stickerUpdate 
03:39:51.174 INFO  Loading Event: threadCreate 
03:39:51.175 INFO  Loading Event: threadDelete 
03:39:51.175 INFO  Loading Event: threadListSync 
03:39:51.176 INFO  Loading Event: threadMembersUpdate 
03:39:51.176 INFO  Loading Event: threadUpdate 
03:39:51.177 INFO  Loading Event: voiceStateUpdate 
03:39:51.628 INFO  10 language(s) have loaded. (ar-EG, de-DE, en-US, en-upside, es-ES, fr-FR, it-IT, nl-NL, pt-BR, ru-RU) 
03:39:51.645 INFO  =-=-=-=-=-=-=- Loading ReactionRoles -=-=-=-=-=-=-= 
03:39:51.676 INFO  MongoDB successfully connected 
03:39:54.636 INFO  Shard: 0 has became ready with: 0 unavailable guilds. 
03:39:54.717 ERROR Error with starting HTTP API: listen EADDRINUSE: address already in use :::3000 
03:39:54.741 INFO  All guilds have been initialized. 
03:39:54.745 INFO  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= 
03:39:54.745 INFO  Prof Grand Oak#0818, ready to serve [1] users in [2] servers. 
03:39:54.745 INFO  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= 
03:41:54.841 INFO  =-=-=-=-=-=-=- Config file Verification -=-=-=-=-=-=-= 
03:41:54.843 INFO  Verifying config.. 
03:41:54.843 INFO  Checking client details.. 
03:41:55.636 INFO  Checking MongoDB URL 
03:41:55.923 INFO  =-=-=-=-=-=-=- Loading shard(s) -=-=-=-=-=-=-= 
03:41:56.936 INFO  =-=-=-=-=-=-=- Loading command(s): 137 -=-=-=-=-=-=-= 
03:41:56.943 INFO  Loading Command: flip. 
03:41:56.944 INFO  Loading Command: meme. 
03:41:56.945 INFO  Loading Command: pokememe. 
03:41:56.946 INFO  Loading Command: pokemon. 
03:41:56.947 INFO  Loading Command: random. 
03:41:56.947 INFO  Loading Command: rpokemon. 
03:41:56.948 INFO  Loading Command: type. 
03:41:56.950 INFO  Loading Command: g-delete. 
03:41:56.954 INFO  Loading Command: g-edit. 
03:41:56.956 INFO  Loading Command: g-pause. 
03:41:56.957 INFO  Loading Command: g-reroll. 
03:41:56.959 INFO  Loading Command: g-start. 
03:41:56.961 INFO  Loading Command: giveaway. 
03:41:56.963 INFO  Loading Command: leaderboard. 
03:41:57.200 INFO  Loading Command: rank. 
03:41:57.202 INFO  Loading Command: blurpify. 
03:41:57.203 INFO  Loading Command: captcha. 
03:41:57.204 INFO  Loading Command: cat. 
03:41:57.205 INFO  Loading Command: changemymind. 
03:41:57.206 INFO  Loading Command: clyde. 
03:41:57.207 INFO  Loading Command: craiyon. 
03:41:57.208 INFO  Loading Command: deepfry. 
03:41:57.209 INFO  Loading Command: dog. 
03:41:57.227 INFO  Loading Command: image. 
03:41:57.228 INFO  Loading Command: phcomment. 
03:41:57.229 INFO  Loading Command: qrcode. 
03:41:57.230 INFO  Loading Command: ship. 
03:41:57.231 INFO  Loading Command: threats. 
03:41:57.232 INFO  Loading Command: twitter. 
03:41:57.232 INFO  Loading Command: whowouldwin. 
03:41:57.234 INFO  Loading Command: help. 
03:41:57.236 INFO  Loading Command: shorturl. 
03:41:57.237 INFO  Loading Command: status. 
03:41:57.238 INFO  Loading Command: poll. 
